product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
182,Зеленый перец молотый,4745,92,Бакалея,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2018-04-01,2028-01-17,2.3,New
183,Нектарин,6019,907,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1991-06-09,2029-01-17,1.77,Returned
184,Курт,8674,906,Молочные продукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2012-01-01,2014-02-12,3.14,Awaiting Payment
185,Пастила,2159,247,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2016-01-14,2030-02-01,0.9,Shipping
186,Апельсин,9193,858,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2021-02-12,2025-01-19,0.69,Awaiting Payment
187,Катык,4025,851,Молочные продукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2001-08-09,2013-06-21,2.55,Awaiting Review
188,Архыз,7728,554,Напитки,Отличается удобством использования и экономичностью в расходе.,2022-08-02,2029-08-04,2.14,Cancelled
189,Камамбер,8742,959,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1997-09-04,2016-03-07,4.26,Out of Stock
190,Груша,8717,444,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2001-01-21,2025-02-08,2.53,Refunded
191,Каша из камута,568,425,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2001-01-15,2011-01-19,4.79,New
192,Пакеты для походов,4933,945,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2002-01-10,2011-01-13,1.01,Backorder
193,Свалява,8214,364,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2022-01-03,2025-05-08,0.62,On Backorder
